# JMH version: 1.21
# VM version: JDK 1.8.0_181, OpenJDK 64-Bit Server VM, 25.181-b13
# VM invoker: /usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 10 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.gs.collections.impl.jmh.LongIntMapTest.remove
# Parameters: (fullyRandom = true, mapSizeDividedBy16000 = 1)

# Run progress: 0.00% complete, ETA 00:25:00
# Fork: 1 of 5
# Warmup Iteration   1: 11.794 ops/s
# Warmup Iteration   2: 13.928 ops/s
# Warmup Iteration   3: 19.080 ops/s
# Warmup Iteration   4: 19.137 ops/s
# Warmup Iteration   5: 19.103 ops/s
# Warmup Iteration   6: 19.075 ops/s
# Warmup Iteration   7: 18.996 ops/s
# Warmup Iteration   8: 19.031 ops/s
# Warmup Iteration   9: 18.971 ops/s
# Warmup Iteration  10: 18.951 ops/s
# Warmup Iteration  11: 18.976 ops/s
# Warmup Iteration  12: 18.961 ops/s
# Warmup Iteration  13: 18.978 ops/s
# Warmup Iteration  14: 18.929 ops/s
# Warmup Iteration  15: 18.991 ops/s
# Warmup Iteration  16: 18.978 ops/s
# Warmup Iteration  17: 18.995 ops/s
# Warmup Iteration  18: 19.012 ops/s
# Warmup Iteration  19: 18.989 ops/s
# Warmup Iteration  20: 18.949 ops/s
Iteration   1: 19.032 ops/s
Iteration   2: 18.953 ops/s
Iteration   3: 18.984 ops/s
Iteration   4: 19.010 ops/s
Iteration   5: 18.897 ops/s
Iteration   6: 18.861 ops/s
Iteration   7: 18.722 ops/s
Iteration   8: 18.910 ops/s
Iteration   9: 18.817 ops/s
Iteration  10: 18.873 ops/s

# Run progress: 2.00% complete, ETA 00:25:23
# Fork: 2 of 5
# Warmup Iteration   1: 13.832 ops/s
# Warmup Iteration   2: 15.323 ops/s
# Warmup Iteration   3: 19.953 ops/s
# Warmup Iteration   4: 19.839 ops/s
# Warmup Iteration   5: 19.765 ops/s
# Warmup Iteration   6: 19.799 ops/s
# Warmup Iteration   7: 19.820 ops/s
# Warmup Iteration   8: 19.762 ops/s
# Warmup Iteration   9: 19.712 ops/s
# Warmup Iteration  10: 19.661 ops/s
# Warmup Iteration  11: 19.650 ops/s
# Warmup Iteration  12: 19.727 ops/s
# Warmup Iteration  13: 19.640 ops/s
# Warmup Iteration  14: 19.653 ops/s
# Warmup Iteration  15: 19.669 ops/s
# Warmup Iteration  16: 19.631 ops/s
# Warmup Iteration  17: 19.698 ops/s
# Warmup Iteration  18: 19.650 ops/s
# Warmup Iteration  19: 19.678 ops/s
# Warmup Iteration  20: 19.534 ops/s
Iteration   1: 19.741 ops/s
Iteration   2: 19.761 ops/s
Iteration   3: 19.778 ops/s
Iteration   4: 19.717 ops/s
Iteration   5: 19.712 ops/s
