# JMH version: 1.21
# VM version: JDK 1.8.0_181, OpenJDK 64-Bit Server VM, 25.181-b13
# VM invoker: /usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 10 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.gs.collections.impl.jmh.LongIntMapTest.presizedPut
# Parameters: (fullyRandom = true, mapSizeDividedBy16000 = 1)

# Run progress: 0.00% complete, ETA 00:25:00
# Fork: 1 of 5
# Warmup Iteration   1: 3.443 ops/s
# Warmup Iteration   2: 3.985 ops/s
# Warmup Iteration   3: 4.659 ops/s
# Warmup Iteration   4: 4.651 ops/s
# Warmup Iteration   5: 4.637 ops/s
# Warmup Iteration   6: 4.628 ops/s
# Warmup Iteration   7: 4.660 ops/s
# Warmup Iteration   8: 4.629 ops/s
# Warmup Iteration   9: 4.627 ops/s
# Warmup Iteration  10: 4.631 ops/s
# Warmup Iteration  11: 4.615 ops/s
# Warmup Iteration  12: 4.622 ops/s
# Warmup Iteration  13: 4.613 ops/s
# Warmup Iteration  14: 4.617 ops/s
# Warmup Iteration  15: 4.616 ops/s
# Warmup Iteration  16: 4.625 ops/s
# Warmup Iteration  17: 4.626 ops/s
# Warmup Iteration  18: 4.625 ops/s
# Warmup Iteration  19: 4.604 ops/s
# Warmup Iteration  20: 4.602 ops/s
Iteration   1: 4.601 ops/s
Iteration   2: 4.611 ops/s
Iteration   3: 4.621 ops/s
Iteration   4: 4.606 ops/s
Iteration   5: 4.609 ops/s
Iteration   6: 4.571 ops/s
Iteration   7: 4.611 ops/s
Iteration   8: 4.617 ops/s
Iteration   9: 4.610 ops/s
Iteration  10: 4.618 ops/s

# Run progress: 2.00% complete, ETA 00:26:51
# Fork: 2 of 5
# Warmup Iteration   1: 4.209 ops/s
# Warmup Iteration   2: 4.317 ops/s
# Warmup Iteration   3: 4.928 ops/s
# Warmup Iteration   4: 4.940 ops/s
# Warmup Iteration   5: 4.924 ops/s
# Warmup Iteration   6: 4.928 ops/s
# Warmup Iteration   7: 4.936 ops/s
# Warmup Iteration   8: 4.894 ops/s
# Warmup Iteration   9: 4.902 ops/s
# Warmup Iteration  10: 4.897 ops/s
# Warmup Iteration  11: 4.911 ops/s
# Warmup Iteration  12: 4.889 ops/s
# Warmup Iteration  13: 4.814 ops/s
# Warmup Iteration  14: 4.892 ops/s
# Warmup Iteration  15: 4.886 ops/s
# Warmup Iteration  16: 4.881 ops/s
# Warmup Iteration  17: 4.902 ops/s
# Warmup Iteration  18: 4.883 ops/s
# Warmup Iteration  19: 4.902 ops/s
# Warmup Iteration  20: 4.904 ops/s
Iteration   1: 4.894 ops/s
Iteration   2: 4.884 ops/s
Iteration   3: 4.901 ops/s
Iteration   4: 4.907 ops/s
Iteration   5: 4.886 ops/s
Iteration   6: 4.892 ops/s
Iteration   7: 4.895 ops/s
Iteration   8: 4.891 ops/s
Iteration   9: 4.877 ops/s
Iteration  10: 4.885 ops/s

# Run progress: 4.00% complete, ETA 00:25:39
# Fork: 3 of 5
# Warmup Iteration   1: 4.282 ops/s
# Warmup Iteration   2: 4.346 ops/s
# Warmup Iteration   3: 4.928 ops/s
# Warmup Iteration   4: 4.948 ops/s
# Warmup Iteration   5: 4.934 ops/s
# Warmup Iteration   6: 4.930 ops/s
# Warmup Iteration   7: 4.938 ops/s
# Warmup Iteration   8: 4.933 ops/s
# Warmup Iteration   9: 4.926 ops/s
# Warmup Iteration  10: 4.861 ops/s
# Warmup Iteration  11: 4.885 ops/s
# Warmup Iteration  12: 4.899 ops/s
# Warmup Iteration  13: 4.897 ops/s
# Warmup Iteration  14: 4.910 ops/s
# Warmup Iteration  15: 4.894 ops/s
# Warmup Iteration  16: 4.853 ops/s
# Warmup Iteration  17: 4.915 ops/s
# Warmup Iteration  18: 4.905 ops/s
# Warmup Iteration  19: 4.902 ops/s
# Warmup Iteration  20: 4.905 ops/s
Iteration   1: 4.904 ops/s
Iteration   2: 4.907 ops/s
Iteration   3: 4.897 ops/s
Iteration   4: 4.884 ops/s
Iteration   5: 4.910 ops/s
Iteration   6: 4.891 ops/s
Iteration   7: 4.895 ops/s
Iteration   8: 4.890 ops/s
Iteration   9: 4.898 ops/s
Iteration  10: 4.897 ops/s

# Run progress: 6.00% complete, ETA 00:24:53
# Fork: 4 of 5
# Warmup Iteration   1: 4.264 ops/s
# Warmup Iteration   2: 4.336 ops/s
# Warmup Iteration   3: 4.916 ops/s
# Warmup Iteration   4: 4.936 ops/s
# Warmup Iteration   5: 4.915 ops/s
# Warmup Iteration   6: 4.907 ops/s
# Warmup Iteration   7: 4.923 ops/s
# Warmup Iteration   8: 4.886 ops/s
# Warmup Iteration   9: 4.887 ops/s
# Warmup Iteration  10: 4.884 ops/s
# Warmup Iteration  11: 4.876 ops/s
# Warmup Iteration  12: 4.898 ops/s
