# JMH version: 1.19
# VM version: JDK 10.0.1, VM 10.0.1+10
# VM invoker: /usr/lib/jvm/java-10-oracle/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.apache.logging.log4j.perf.jmh.LoggerConfigBenchmark.logWithCountersAndLock

# Run progress: 0.00% complete, ETA 00:33:20
# Fork: 1 of 10
# Warmup Iteration   1: 18445960.601 ops/s
# Warmup Iteration   2: 20679638.956 ops/s
# Warmup Iteration   3: 19799463.779 ops/s
# Warmup Iteration   4: 19237610.512 ops/s
# Warmup Iteration   5: 20643972.313 ops/s
# Warmup Iteration   6: 21125230.512 ops/s
# Warmup Iteration   7: 20955903.919 ops/s
# Warmup Iteration   8: 21097349.589 ops/s
# Warmup Iteration   9: 20943418.493 ops/s
# Warmup Iteration  10: 21126968.467 ops/s
# Warmup Iteration  11: 21083119.833 ops/s
# Warmup Iteration  12: 21112201.996 ops/s
# Warmup Iteration  13: 21086286.722 ops/s
# Warmup Iteration  14: 21129354.953 ops/s
# Warmup Iteration  15: 19546697.077 ops/s
# Warmup Iteration  16: 19041144.153 ops/s
# Warmup Iteration  17: 21028375.846 ops/s
# Warmup Iteration  18: 20838800.244 ops/s
# Warmup Iteration  19: 19670226.855 ops/s
# Warmup Iteration  20: 19680897.546 ops/s
Iteration   1: 21047704.909 ops/s
Iteration   2: 21147292.246 ops/s
Iteration   3: 21148244.190 ops/s
Iteration   4: 21115975.991 ops/s
Iteration   5: 21038318.095 ops/s
Iteration   6: 21139519.285 ops/s
Iteration   7: 19881032.649 ops/s
Iteration   8: 19422944.945 ops/s
Iteration   9: 21083738.632 ops/s
Iteration  10: 21071594.140 ops/s
Iteration  11: 21086441.205 ops/s
Iteration  12: 21064084.043 ops/s
Iteration  13: 21074806.086 ops/s
Iteration  14: 21076861.758 ops/s
Iteration  15: 21118724.140 ops/s
Iteration  16: 21067707.346 ops/s
Iteration  17: 21072711.233 ops/s
Iteration  18: 21066067.853 ops/s
Iteration  19: 21067552.812 ops/s
Iteration  20: 21065132.710 ops/s

# Run progress: 2.00% complete, ETA 00:33:03
# Fork: 2 of 10
# Warmup Iteration   1: 18366181.098 ops/s
# Warmup Iteration   2: 19757505.614 ops/s
# Warmup Iteration   3: 16952695.075 ops/s
# Warmup Iteration   4: 19672128.109 ops/s
# Warmup Iteration   5: 20930289.975 ops/s
# Warmup Iteration   6: 20841716.038 ops/s
# Warmup Iteration   7: 19415016.870 ops/s
# Warmup Iteration   8: 19472266.204 ops/s
# Warmup Iteration   9: 20910062.785 ops/s
# Warmup Iteration  10: 19504419.273 ops/s
# Warmup Iteration  11: 19646257.413 ops/s
# Warmup Iteration  12: 20829258.175 ops/s
# Warmup Iteration  13: 19592008.114 ops/s
# Warmup Iteration  14: 19724638.901 ops/s
# Warmup Iteration  15: 20977964.357 ops/s
# Warmup Iteration  16: 20993938.196 ops/s
# Warmup Iteration  17: 21145216.779 ops/s
# Warmup Iteration  18: 21123414.395 ops/s
# Warmup Iteration  19: 21088414.460 ops/s
# Warmup Iteration  20: 21121403.586 ops/s
Iteration   1: 21062368.061 ops/s
Iteration   2: 19440182.973 ops/s
Iteration   3: 21141231.188 ops/s
Iteration   4: 21112166.197 ops/s
Iteration   5: 18683348.452 ops/s
Iteration   6: 19850519.805 ops/s
Iteration   7: 20900252.686 ops/s
Iteration   8: 18921828.125 ops/s
Iteration   9: 19173669.283 ops/s
Iteration  10: 20792264.732 ops/s
Iteration  11: 19605948.444 ops/s
Iteration  12: 19764050.604 ops/s
Iteration  13: 20947111.422 ops/s
Iteration  14: 19802305.792 ops/s
Iteration  15: 19676011.894 ops/s
Iteration  16: 21105442.262 ops/s
Iteration  17: 19908201.848 ops/s
Iteration  18: 20003296.368 ops/s
Iteration  19: 19763195.846 ops/s
Iteration  20: 19828636.309 ops/s

# Run progress: 4.00% complete, ETA 00:32:21
# Fork: 3 of 10
# Warmup Iteration   1: 18094507.907 ops/s
# Warmup Iteration   2: 20446704.694 ops/s
# Warmup Iteration   3: 21084791.131 ops/s
# Warmup Iteration   4: 21084349.363 ops/s
# Warmup Iteration   5: 21068117.644 ops/s
# Warmup Iteration   6: 21040880.326 ops/s
# Warmup Iteration   7: 20998629.690 ops/s
# Warmup Iteration   8: 20327512.609 ops/s
# Warmup Iteration   9: 19006387.985 ops/s
# Warmup Iteration  10: 19738849.423 ops/s
# Warmup Iteration  11: 21075837.188 ops/s
# Warmup Iteration  12: 21090511.923 ops/s
# Warmup Iteration  13: 21055244.973 ops/s
# Warmup Iteration  14: 21075152.646 ops/s
# Warmup Iteration  15: 21092668.777 ops/s
# Warmup Iteration  16: 21185469.046 ops/s
# Warmup Iteration  17: 21124909.500 ops/s
# Warmup Iteration  18: 21112019.796 ops/s
# Warmup Iteration  19: 21012138.316 ops/s
# Warmup Iteration  20: 20332548.321 ops/s
Iteration   1: 20919961.023 ops/s
Iteration   2: 21145262.424 ops/s
Iteration   3: 21051332.314 ops/s
Iteration   4: 21147482.979 ops/s
Iteration   5: 21011068.228 ops/s
Iteration   6: 20195712.167 ops/s
Iteration   7: 19433974.368 ops/s
Iteration   8: 21138279.183 ops/s
Iteration   9: 21142942.021 ops/s
Iteration  10: 20336557.571 ops/s
Iteration  11: 19477360.936 ops/s
Iteration  12: 21154406.575 ops/s
Iteration  13: 21070771.991 ops/s
Iteration  14: 21129220.438 ops/s
Iteration  15: 21148116.415 ops/s
Iteration  16: 21138666.382 ops/s
Iteration  17: 21123933.086 ops/s
Iteration  18: 21116693.877 ops/s
Iteration  19: 21129194.678 ops/s
Iteration  20: 21100055.950 ops/s

# Run progress: 6.00% complete, ETA 00:31:41
# Fork: 4 of 10
# Warmup Iteration   1: 17394615.845 ops/s
# Warmup Iteration   2: 18164217.879 ops/s
# Warmup Iteration   3: 18401314.032 ops/s
# Warmup Iteration   4: 20149414.583 ops/s
# Warmup Iteration   5: 21745479.404 ops/s
# Warmup Iteration   6: 21729201.518 ops/s
# Warmup Iteration   7: 21738607.899 ops/s
# Warmup Iteration   8: 21734525.579 ops/s
# Warmup Iteration   9: 20327188.507 ops/s
# Warmup Iteration  10: 20234459.025 ops/s
# Warmup Iteration  11: 21718756.596 ops/s
# Warmup Iteration  12: 20261230.677 ops/s
# Warmup Iteration  13: 19908102.555 ops/s
# Warmup Iteration  14: 18402267.965 ops/s
# Warmup Iteration  15: 20208749.431 ops/s
# Warmup Iteration  16: 19795895.481 ops/s
# Warmup Iteration  17: 21753736.628 ops/s
# Warmup Iteration  18: 21456577.818 ops/s
# Warmup Iteration  19: 18420720.789 ops/s
# Warmup Iteration  20: 20282968.507 ops/s
Iteration   1: 20373475.824 ops/s
Iteration   2: 18419937.148 ops/s
Iteration   3: 18417289.637 ops/s
Iteration   4: 20030929.116 ops/s
Iteration   5: 20146973.239 ops/s
Iteration   6: 21743175.881 ops/s
Iteration   7: 21771205.250 ops/s
Iteration   8: 20364806.778 ops/s
Iteration   9: 18424016.568 ops/s
Iteration  10: 18424097.166 ops/s
Iteration  11: 19437940.575 ops/s
Iteration  12: 21760361.480 ops/s
Iteration  13: 20265620.375 ops/s
Iteration  14: 20055551.961 ops/s
Iteration  15: 21769735.697 ops/s
Iteration  16: 21334592.823 ops/s
Iteration  17: 20141219.379 ops/s
Iteration  18: 21761062.430 ops/s
Iteration  19: 20433008.111 ops/s
Iteration  20: 18362895.117 ops/s

# Run progress: 8.00% complete, ETA 00:31:01
# Fork: 5 of 10
# Warmup Iteration   1: 19081618.474 ops/s
# Warmup Iteration   2: 20503013.739 ops/s
# Warmup Iteration   3: 18673459.375 ops/s
# Warmup Iteration   4: 18649601.533 ops/s
# Warmup Iteration   5: 21009474.990 ops/s
# Warmup Iteration   6: 21029474.099 ops/s
# Warmup Iteration   7: 21000930.502 ops/s
# Warmup Iteration   8: 21011069.984 ops/s
# Warmup Iteration   9: 21048536.001 ops/s
# Warmup Iteration  10: 21078904.488 ops/s
# Warmup Iteration  11: 20663201.254 ops/s
# Warmup Iteration  12: 21030501.857 ops/s
# Warmup Iteration  13: 20964134.217 ops/s
# Warmup Iteration  14: 21021685.472 ops/s
# Warmup Iteration  15: 21117534.625 ops/s
# Warmup Iteration  16: 20571169.723 ops/s
# Warmup Iteration  17: 20018555.539 ops/s
# Warmup Iteration  18: 21132940.318 ops/s
# Warmup Iteration  19: 21060209.189 ops/s
# Warmup Iteration  20: 20341048.780 ops/s
Iteration   1: 17825796.227 ops/s
Iteration   2: 18870010.887 ops/s
Iteration   3: 20745531.025 ops/s
Iteration   4: 21075824.593 ops/s
Iteration   5: 21072689.255 ops/s
Iteration   6: 21076627.918 ops/s
Iteration   7: 21085016.551 ops/s
Iteration   8: 21030448.618 ops/s
Iteration   9: 20787574.134 ops/s
Iteration  10: 21058107.942 ops/s
Iteration  11: 21056323.240 ops/s
Iteration  12: 21077523.360 ops/s
Iteration  13: 21066467.637 ops/s
Iteration  14: 18765564.349 ops/s
Iteration  15: 18544528.280 ops/s
Iteration  16: 21075112.389 ops/s
Iteration  17: 20967452.532 ops/s
Iteration  18: 21087097.046 ops/s
Iteration  19: 21076475.024 ops/s
Iteration  20: 19144146.080 ops/s

# Run progress: 10.00% complete, ETA 00:30:20
# Fork: 6 of 10
# Warmup Iteration   1: 18734443.009 ops/s
# Warmup Iteration   2: 21445336.649 ops/s
# Warmup Iteration   3: 20435791.202 ops/s
# Warmup Iteration   4: 19740692.839 ops/s
# Warmup Iteration   5: 18399195.398 ops/s
# Warmup Iteration   6: 19609132.934 ops/s
# Warmup Iteration   7: 21736745.027 ops/s
# Warmup Iteration   8: 21740102.805 ops/s
# Warmup Iteration   9: 20404395.673 ops/s
# Warmup Iteration  10: 20032185.905 ops/s
