# JMH version: 1.21
# VM version: JDK 1.8.0_181, OpenJDK 64-Bit Server VM, 25.181-b13
# VM invoker: /usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 10 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.gs.collections.impl.jmh.LongIntMapTest.presizedPut
# Parameters: (fullyRandom = true, mapSizeDividedBy16000 = 1)

# Run progress: 0.00% complete, ETA 00:25:00
# Fork: 1 of 5
# Warmup Iteration   1: 3.607 ops/s
# Warmup Iteration   2: 4.817 ops/s
# Warmup Iteration   3: 4.865 ops/s
# Warmup Iteration   4: 4.851 ops/s
# Warmup Iteration   5: 4.838 ops/s
# Warmup Iteration   6: 4.853 ops/s
# Warmup Iteration   7: 4.843 ops/s
# Warmup Iteration   8: 4.848 ops/s
# Warmup Iteration   9: 4.844 ops/s
# Warmup Iteration  10: 4.839 ops/s
# Warmup Iteration  11: 4.863 ops/s
# Warmup Iteration  12: 4.816 ops/s
# Warmup Iteration  13: 4.840 ops/s
# Warmup Iteration  14: 4.852 ops/s
# Warmup Iteration  15: 4.837 ops/s
# Warmup Iteration  16: 4.847 ops/s
# Warmup Iteration  17: 4.848 ops/s
# Warmup Iteration  18: 4.832 ops/s
# Warmup Iteration  19: 4.853 ops/s
# Warmup Iteration  20: 4.820 ops/s
Iteration   1: 4.854 ops/s
Iteration   2: 4.799 ops/s
Iteration   3: 4.854 ops/s
Iteration   4: 4.813 ops/s
Iteration   5: 4.867 ops/s
Iteration   6: 4.851 ops/s
Iteration   7: 4.866 ops/s
Iteration   8: 4.821 ops/s
Iteration   9: 4.845 ops/s
Iteration  10: 4.850 ops/s

# Run progress: 2.00% complete, ETA 00:25:40
# Fork: 2 of 5
# Warmup Iteration   1: 4.208 ops/s
# Warmup Iteration   2: 4.351 ops/s
# Warmup Iteration   3: 4.973 ops/s
# Warmup Iteration   4: 4.950 ops/s
# Warmup Iteration   5: 4.927 ops/s
# Warmup Iteration   6: 4.967 ops/s
# Warmup Iteration   7: 4.986 ops/s
# Warmup Iteration   8: 4.974 ops/s
# Warmup Iteration   9: 4.927 ops/s
# Warmup Iteration  10: 4.960 ops/s
# Warmup Iteration  11: 4.959 ops/s
# Warmup Iteration  12: 4.948 ops/s
# Warmup Iteration  13: 4.950 ops/s
# Warmup Iteration  14: 4.962 ops/s
# Warmup Iteration  15: 4.950 ops/s
# Warmup Iteration  16: 4.961 ops/s
# Warmup Iteration  17: 4.962 ops/s
# Warmup Iteration  18: 4.961 ops/s
# Warmup Iteration  19: 4.952 ops/s
# Warmup Iteration  20: 4.954 ops/s
Iteration   1: 4.952 ops/s
Iteration   2: 4.956 ops/s
Iteration   3: 4.970 ops/s
Iteration   4: 4.951 ops/s
Iteration   5: 4.966 ops/s
Iteration   6: 4.861 ops/s
Iteration   7: 4.921 ops/s
Iteration   8: 4.966 ops/s
Iteration   9: 4.955 ops/s
Iteration  10: 4.976 ops/s

# Run progress: 4.00% complete, ETA 00:24:57
# Fork: 3 of 5
# Warmup Iteration   1: 4.241 ops/s
# Warmup Iteration   2: 4.378 ops/s
# Warmup Iteration   3: 5.006 ops/s
# Warmup Iteration   4: 5.018 ops/s
# Warmup Iteration   5: 5.001 ops/s
# Warmup Iteration   6: 4.996 ops/s
# Warmup Iteration   7: 5.003 ops/s
# Warmup Iteration   8: 4.973 ops/s
# Warmup Iteration   9: 4.969 ops/s
# Warmup Iteration  10: 4.971 ops/s
# Warmup Iteration  11: 4.985 ops/s
# Warmup Iteration  12: 4.975 ops/s
# Warmup Iteration  13: 4.976 ops/s
# Warmup Iteration  14: 4.964 ops/s
# Warmup Iteration  15: 4.963 ops/s
# Warmup Iteration  16: 4.993 ops/s
# Warmup Iteration  17: 4.980 ops/s
# Warmup Iteration  18: 4.956 ops/s
# Warmup Iteration  19: 4.971 ops/s
# Warmup Iteration  20: 5.000 ops/s
Iteration   1: 4.963 ops/s
Iteration   2: 4.975 ops/s
Iteration   3: 4.964 ops/s
Iteration   4: 4.971 ops/s
Iteration   5: 4.971 ops/s
Iteration   6: 4.973 ops/s
Iteration   7: 4.972 ops/s
Iteration   8: 4.968 ops/s
Iteration   9: 4.984 ops/s
Iteration  10: 4.965 ops/s

# Run progress: 6.00% complete, ETA 00:24:38
# Fork: 4 of 5
# Warmup Iteration   1: 3.833 ops/s
# Warmup Iteration   2: 3.980 ops/s
# Warmup Iteration   3: 4.665 ops/s
# Warmup Iteration   4: 4.630 ops/s
# Warmup Iteration   5: 4.661 ops/s
# Warmup Iteration   6: 4.662 ops/s
# Warmup Iteration   7: 4.661 ops/s
# Warmup Iteration   8: 4.657 ops/s
# Warmup Iteration   9: 4.650 ops/s
# Warmup Iteration  10: 4.634 ops/s
# Warmup Iteration  11: 4.634 ops/s
# Warmup Iteration  12: 4.645 ops/s
# Warmup Iteration  13: 4.594 ops/s
# Warmup Iteration  14: 4.656 ops/s
# Warmup Iteration  15: 4.616 ops/s
# Warmup Iteration  16: 4.636 ops/s
# Warmup Iteration  17: 4.653 ops/s
# Warmup Iteration  18: 4.659 ops/s
# Warmup Iteration  19: 4.629 ops/s
# Warmup Iteration  20: 4.649 ops/s
Iteration   1: 4.641 ops/s
Iteration   2: 4.646 ops/s
Iteration   3: 4.619 ops/s
Iteration   4: 4.644 ops/s
Iteration   5: 4.656 ops/s
Iteration   6: 4.641 ops/s
Iteration   7: 4.642 ops/s
Iteration   8: 4.641 ops/s
Iteration   9: 4.648 ops/s
Iteration  10: 4.647 ops/s

# Run progress: 8.00% complete, ETA 00:24:18
# Fork: 5 of 5
# Warmup Iteration   1: 4.199 ops/s
# Warmup Iteration   2: 4.273 ops/s
# Warmup Iteration   3: 4.878 ops/s
# Warmup Iteration   4: 4.867 ops/s
# Warmup Iteration   5: 4.885 ops/s
# Warmup Iteration   6: 4.865 ops/s
# Warmup Iteration   7: 4.868 ops/s
# Warmup Iteration   8: 4.873 ops/s
# Warmup Iteration   9: 4.846 ops/s
# Warmup Iteration  10: 4.848 ops/s
# Warmup Iteration  11: 4.822 ops/s
# Warmup Iteration  12: 4.843 ops/s
# Warmup Iteration  13: 4.798 ops/s
# Warmup Iteration  14: 4.854 ops/s
# Warmup Iteration  15: 4.777 ops/s
# Warmup Iteration  16: 4.813 ops/s
# Warmup Iteration  17: 4.861 ops/s
# Warmup Iteration  18: 4.853 ops/s
# Warmup Iteration  19: 4.820 ops/s
# Warmup Iteration  20: 4.877 ops/s
Iteration   1: 4.845 ops/s
Iteration   2: 4.853 ops/s
Iteration   3: 4.845 ops/s
Iteration   4: 4.868 ops/s
Iteration   5: 4.868 ops/s
Iteration   6: 4.826 ops/s
Iteration   7: 4.852 ops/s
Iteration   8: 4.855 ops/s
Iteration   9: 4.855 ops/s
Iteration  10: 4.837 ops/s


Result "com.gs.collections.impl.jmh.LongIntMapTest.presizedPut":
  4.851 ±(99.9%) 0.059 ops/s [Average]
  (min, avg, max) = (4.619, 4.851, 4.984), stdev = 0.119
  CI (99.9%): [4.792, 4.909] (assumes normal distribution)


# JMH version: 1.21
# VM version: JDK 1.8.0_181, OpenJDK 64-Bit Server VM, 25.181-b13
# VM invoker: /usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 10 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.gs.collections.impl.jmh.LongIntMapTest.presizedPut
# Parameters: (fullyRandom = true, mapSizeDividedBy16000 = 10)

# Run progress: 10.00% complete, ETA 00:23:45
# Fork: 1 of 5
# Warmup Iteration   1: 2.876 ops/s
# Warmup Iteration   2: 3.098 ops/s
# Warmup Iteration   3: 3.448 ops/s
# Warmup Iteration   4: 3.439 ops/s
# Warmup Iteration   5: 3.431 ops/s
# Warmup Iteration   6: 3.429 ops/s
# Warmup Iteration   7: 3.430 ops/s
# Warmup Iteration   8: 3.419 ops/s
# Warmup Iteration   9: 3.402 ops/s
# Warmup Iteration  10: 3.380 ops/s
# Warmup Iteration  11: 3.424 ops/s
# Warmup Iteration  12: 3.418 ops/s
# Warmup Iteration  13: 3.397 ops/s
# Warmup Iteration  14: 3.429 ops/s
# Warmup Iteration  15: 3.422 ops/s
# Warmup Iteration  16: 3.416 ops/s
# Warmup Iteration  17: 3.420 ops/s
# Warmup Iteration  18: 3.422 ops/s
# Warmup Iteration  19: 3.376 ops/s
# Warmup Iteration  20: 3.380 ops/s
Iteration   1: 3.357 ops/s
Iteration   2: 3.391 ops/s
Iteration   3: 3.425 ops/s
Iteration   4: 3.414 ops/s
Iteration   5: 3.419 ops/s
Iteration   6: 3.418 ops/s
Iteration   7: 3.411 ops/s
Iteration   8: 3.403 ops/s
Iteration   9: 3.418 ops/s
Iteration  10: 3.420 ops/s

# Run progress: 12.00% complete, ETA 00:23:42
# Fork: 2 of 5
# Warmup Iteration   1: 2.846 ops/s
# Warmup Iteration   2: 2.956 ops/s
# Warmup Iteration   3: 3.381 ops/s
# Warmup Iteration   4: 3.356 ops/s
# Warmup Iteration   5: 3.156 ops/s
# Warmup Iteration   6: 3.353 ops/s
# Warmup Iteration   7: 3.356 ops/s
# Warmup Iteration   8: 3.354 ops/s
# Warmup Iteration   9: 3.349 ops/s
# Warmup Iteration  10: 3.336 ops/s
# Warmup Iteration  11: 3.352 ops/s
# Warmup Iteration  12: 3.342 ops/s
# Warmup Iteration  13: 3.318 ops/s
# Warmup Iteration  14: 3.311 ops/s
# Warmup Iteration  15: 3.348 ops/s
# Warmup Iteration  16: 3.331 ops/s
# Warmup Iteration  17: 3.328 ops/s
# Warmup Iteration  18: 3.356 ops/s
# Warmup Iteration  19: 3.352 ops/s
# Warmup Iteration  20: 3.329 ops/s
Iteration   1: 3.355 ops/s
Iteration   2: 3.351 ops/s
Iteration   3: 3.351 ops/s
Iteration   4: 3.353 ops/s
Iteration   5: 3.358 ops/s
Iteration   6: 3.350 ops/s
Iteration   7: 3.321 ops/s
Iteration   8: 3.346 ops/s
Iteration   9: 3.344 ops/s
Iteration  10: 3.339 ops/s

# Run progress: 14.00% complete, ETA 00:23:31
# Fork: 3 of 5
# Warmup Iteration   1: 2.883 ops/s
# Warmup Iteration   2: 3.112 ops/s
# Warmup Iteration   3: 3.465 ops/s
# Warmup Iteration   4: 3.451 ops/s
# Warmup Iteration   5: 3.451 ops/s
# Warmup Iteration   6: 3.446 ops/s
# Warmup Iteration   7: 3.442 ops/s
# Warmup Iteration   8: 3.433 ops/s
# Warmup Iteration   9: 3.423 ops/s
# Warmup Iteration  10: 3.436 ops/s
# Warmup Iteration  11: 3.433 ops/s
# Warmup Iteration  12: 3.425 ops/s
# Warmup Iteration  13: 3.432 ops/s
# Warmup Iteration  14: 3.421 ops/s
# Warmup Iteration  15: 3.389 ops/s
# Warmup Iteration  16: 3.411 ops/s
# Warmup Iteration  17: 3.435 ops/s
# Warmup Iteration  18: 3.430 ops/s
# Warmup Iteration  19: 3.432 ops/s
# Warmup Iteration  20: 3.424 ops/s
Iteration   1: 3.426 ops/s
Iteration   2: 3.402 ops/s
Iteration   3: 3.424 ops/s
Iteration   4: 3.379 ops/s
Iteration   5: 3.417 ops/s
Iteration   6: 3.412 ops/s
Iteration   7: 3.417 ops/s
Iteration   8: 3.418 ops/s
Iteration   9: 3.423 ops/s
Iteration  10: 3.419 ops/s

# Run progress: 16.00% complete, ETA 00:23:12
# Fork: 4 of 5
# Warmup Iteration   1: 2.808 ops/s
# Warmup Iteration   2: 2.888 ops/s
# Warmup Iteration   3: 3.302 ops/s
# Warmup Iteration   4: 3.282 ops/s
# Warmup Iteration   5: 3.255 ops/s
# Warmup Iteration   6: 3.287 ops/s
# Warmup Iteration   7: 3.277 ops/s
# Warmup Iteration   8: 3.276 ops/s
# Warmup Iteration   9: 3.270 ops/s
# Warmup Iteration  10: 3.224 ops/s
# Warmup Iteration  11: 3.277 ops/s
# Warmup Iteration  12: 3.268 ops/s
# Warmup Iteration  13: 3.279 ops/s
# Warmup Iteration  14: 3.272 ops/s
# Warmup Iteration  15: 3.274 ops/s
# Warmup Iteration  16: 3.271 ops/s
# Warmup Iteration  17: 3.237 ops/s
# Warmup Iteration  18: 3.236 ops/s
