# JMH version: 1.21
# VM version: JDK 1.8.0_181, OpenJDK 64-Bit Server VM, 25.181-b13
# VM invoker: /usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 10 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.gs.collections.impl.jmh.LongIntMapTest.remove
# Parameters: (fullyRandom = true, mapSizeDividedBy16000 = 1)

# Run progress: 0.00% complete, ETA 00:25:00
# Fork: 1 of 5
# Warmup Iteration   1: 11.176 ops/s
# Warmup Iteration   2: 12.481 ops/s
# Warmup Iteration   3: 16.349 ops/s
# Warmup Iteration   4: 16.479 ops/s
# Warmup Iteration   5: 16.455 ops/s
# Warmup Iteration   6: 16.439 ops/s
# Warmup Iteration   7: 16.422 ops/s
# Warmup Iteration   8: 16.379 ops/s
# Warmup Iteration   9: 16.346 ops/s
# Warmup Iteration  10: 16.282 ops/s
# Warmup Iteration  11: 16.123 ops/s
# Warmup Iteration  12: 16.144 ops/s
# Warmup Iteration  13: 16.137 ops/s
# Warmup Iteration  14: 16.145 ops/s
# Warmup Iteration  15: 16.150 ops/s
# Warmup Iteration  16: 16.133 ops/s
# Warmup Iteration  17: 16.279 ops/s
# Warmup Iteration  18: 16.260 ops/s
# Warmup Iteration  19: 16.243 ops/s
# Warmup Iteration  20: 16.237 ops/s
Iteration   1: 16.278 ops/s
Iteration   2: 16.248 ops/s
Iteration   3: 16.244 ops/s
Iteration   4: 16.240 ops/s
Iteration   5: 16.276 ops/s
Iteration   6: 16.183 ops/s
Iteration   7: 16.276 ops/s
Iteration   8: 16.322 ops/s
Iteration   9: 16.287 ops/s
Iteration  10: 16.301 ops/s

# Run progress: 2.00% complete, ETA 00:25:59
# Fork: 2 of 5
# Warmup Iteration   1: 12.719 ops/s
# Warmup Iteration   2: 13.554 ops/s
# Warmup Iteration   3: 17.124 ops/s
# Warmup Iteration   4: 17.116 ops/s
# Warmup Iteration   5: 17.110 ops/s
# Warmup Iteration   6: 17.125 ops/s
# Warmup Iteration   7: 17.112 ops/s
# Warmup Iteration   8: 17.095 ops/s
# Warmup Iteration   9: 17.113 ops/s
# Warmup Iteration  10: 17.067 ops/s
# Warmup Iteration  11: 17.089 ops/s
# Warmup Iteration  12: 17.014 ops/s
# Warmup Iteration  13: 17.149 ops/s
# Warmup Iteration  14: 16.960 ops/s
# Warmup Iteration  15: 17.157 ops/s
# Warmup Iteration  16: 17.213 ops/s
# Warmup Iteration  17: 17.142 ops/s
# Warmup Iteration  18: 16.968 ops/s
# Warmup Iteration  19: 17.097 ops/s
# Warmup Iteration  20: 17.073 ops/s
Iteration   1: 17.099 ops/s
Iteration   2: 17.121 ops/s
Iteration   3: 17.091 ops/s
Iteration   4: 17.087 ops/s
Iteration   5: 17.097 ops/s
Iteration   6: 17.077 ops/s
Iteration   7: 17.138 ops/s
Iteration   8: 17.124 ops/s
Iteration   9: 17.069 ops/s
Iteration  10: 17.094 ops/s

# Run progress: 4.00% complete, ETA 00:25:26
# Fork: 3 of 5
# Warmup Iteration   1: 12.773 ops/s
# Warmup Iteration   2: 13.396 ops/s
# Warmup Iteration   3: 16.768 ops/s
# Warmup Iteration   4: 16.856 ops/s
# Warmup Iteration   5: 16.894 ops/s
# Warmup Iteration   6: 17.001 ops/s
# Warmup Iteration   7: 16.984 ops/s
# Warmup Iteration   8: 16.884 ops/s
# Warmup Iteration   9: 16.860 ops/s
# Warmup Iteration  10: 16.924 ops/s
# Warmup Iteration  11: 16.953 ops/s
# Warmup Iteration  12: 16.928 ops/s
# Warmup Iteration  13: 16.937 ops/s
# Warmup Iteration  14: 16.926 ops/s
# Warmup Iteration  15: 16.954 ops/s
# Warmup Iteration  16: 16.930 ops/s
# Warmup Iteration  17: 16.899 ops/s
# Warmup Iteration  18: 16.933 ops/s
# Warmup Iteration  19: 16.943 ops/s
# Warmup Iteration  20: 16.926 ops/s
Iteration   1: 16.942 ops/s
Iteration   2: 16.766 ops/s
Iteration   3: 16.839 ops/s
Iteration   4: 16.908 ops/s
Iteration   5: 16.858 ops/s
Iteration   6: 16.867 ops/s
Iteration   7: 16.876 ops/s
Iteration   8: 16.872 ops/s
Iteration   9: 16.895 ops/s
Iteration  10: 16.853 ops/s

# Run progress: 6.00% complete, ETA 00:24:36
# Fork: 4 of 5
# Warmup Iteration   1: 12.665 ops/s
