# JMH version: 1.19
# VM version: JDK 10.0.1, VM 10.0.1+10
# VM invoker: /usr/lib/jvm/java-10-oracle/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.baseline

# Run progress: 0.00% complete, ETA 00:06:40
# Fork: 1 of 10
# Warmup Iteration   1: 23894.166 ops/ms
# Warmup Iteration   2: 24362.768 ops/ms
# Warmup Iteration   3: 26864.200 ops/ms
# Warmup Iteration   4: 23707.374 ops/ms
# Warmup Iteration   5: 22747.227 ops/ms
# Warmup Iteration   6: 25860.660 ops/ms
# Warmup Iteration   7: 26866.291 ops/ms
# Warmup Iteration   8: 26883.997 ops/ms
# Warmup Iteration   9: 26866.344 ops/ms
# Warmup Iteration  10: 26878.423 ops/ms
# Warmup Iteration  11: 26846.529 ops/ms
# Warmup Iteration  12: 26336.878 ops/ms
# Warmup Iteration  13: 23673.269 ops/ms
# Warmup Iteration  14: 26876.578 ops/ms
# Warmup Iteration  15: 26879.294 ops/ms
# Warmup Iteration  16: 26876.278 ops/ms
# Warmup Iteration  17: 26838.078 ops/ms
# Warmup Iteration  18: 26832.600 ops/ms
# Warmup Iteration  19: 26842.900 ops/ms
# Warmup Iteration  20: 26828.373 ops/ms
Iteration   1: 26840.530 ops/ms
Iteration   2: 26839.974 ops/ms
Iteration   3: 26827.751 ops/ms
Iteration   4: 26817.035 ops/ms
Iteration   5: 26841.217 ops/ms
Iteration   6: 26814.314 ops/ms
Iteration   7: 26829.797 ops/ms
Iteration   8: 26827.530 ops/ms
Iteration   9: 26840.971 ops/ms
Iteration  10: 26834.162 ops/ms
Iteration  11: 25111.247 ops/ms
Iteration  12: 23795.042 ops/ms
Iteration  13: 25123.285 ops/ms
Iteration  14: 25022.019 ops/ms
Iteration  15: 26814.842 ops/ms
Iteration  16: 25375.023 ops/ms
Iteration  17: 24785.227 ops/ms
Iteration  18: 25069.201 ops/ms
Iteration  19: 25252.095 ops/ms
Iteration  20: 25100.564 ops/ms

# Run progress: 10.00% complete, ETA 00:06:04
# Fork: 2 of 10
# Warmup Iteration   1: 24190.070 ops/ms
# Warmup Iteration   2: 22780.013 ops/ms
# Warmup Iteration   3: 25209.355 ops/ms
# Warmup Iteration   4: 26833.380 ops/ms
# Warmup Iteration   5: 26845.448 ops/ms
# Warmup Iteration   6: 26834.176 ops/ms
# Warmup Iteration   7: 26848.609 ops/ms
# Warmup Iteration   8: 25183.598 ops/ms
# Warmup Iteration   9: 23606.171 ops/ms
# Warmup Iteration  10: 24611.970 ops/ms
# Warmup Iteration  11: 24084.299 ops/ms
# Warmup Iteration  12: 22083.776 ops/ms
# Warmup Iteration  13: 23450.515 ops/ms
